# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       2.884        0.000       10.699      484.637
       2.888      228.300       10.699      484.637
       2.893        0.000       10.699      484.637
       2.897        0.000       10.699      484.637
       2.902        0.000       10.699      484.637
       2.906      228.700       10.699      484.637
       2.911      217.000       10.699      484.637
       2.915        0.000       10.699      484.637
       2.920        0.000       10.699      484.637
       2.924        0.000       10.699      484.637
       2.928      220.800       10.699      484.637
       2.933        0.000       10.699      484.637
       2.937        0.000       10.699      484.637
       2.942      225.700       10.699      484.637
       2.946      218.500       10.699      484.637
       2.951        0.000       10.699      484.637
       2.955        0.000       10.699      484.637
       2.960        0.000       10.699      484.637
       2.965      204.500       10.699      484.637
       2.970        0.000       10.699      484.637
       2.976      167.800       10.699      484.637
       2.982      167.800       10.699      484.637
       2.988      154.800       10.699      484.637
       2.994        0.000       10.699      484.637
       3.000        0.000       10.699      484.637
       3.007      309.300       10.699      484.637
       3.013      150.400       10.699      484.637
       3.020        0.000       10.699      484.637
       3.026      167.900       10.699      484.637
       3.032        0.000       10.699      484.637
       3.038      150.100       10.699      484.637
       3.045        0.000       10.699      484.637
       3.051      159.100       10.699      484.637
       3.057      132.400       10.699      484.637
       3.065      168.500       10.699      484.637
       3.071      213.600       10.699      484.637
       3.076        0.000       10.699      484.637
       3.080      220.400       10.699      484.637
       3.085        0.000       10.699      484.637
       3.089        0.000       10.699      484.637
       3.094      190.200       10.699      484.637
       3.099      216.300       10.699      484.637
       3.104        0.000       10.699      484.637
       3.108      307.300       10.699      484.637
       3.115        0.000       10.699      484.637
       3.121      156.800       10.699      484.637
       3.128      315.100       10.699      484.637
       3.134      155.900       10.699      484.637
       3.140      155.600       10.699      484.637
       3.147      156.000       10.699      484.637
       3.153      300.400       10.699      484.637
       3.160      153.600       10.699      484.637
       3.166      152.300       10.699      484.637
       3.173      152.200       10.699      484.637
       3.179      149.700       10.699      484.637
       3.186      349.700       10.699      484.637
       3.192        0.000       10.699      484.637
       3.198      159.600       10.699      484.637
       3.204      156.700       10.699      484.637
       3.211      160.500       10.699      484.637
       3.217      156.000       10.699      484.637
       3.223        0.000       10.699      484.637
       3.230      311.200       10.699      484.637
       3.236        0.000       10.699      484.637
       3.242      175.500       10.699      484.637
       3.248      145.900       10.699      484.637
       3.254      152.400       10.699      484.637
       3.261      168.400       10.699      484.637
       3.267      164.700       10.699      484.637
       3.273        0.000       10.699      484.637
       3.279      164.400       10.699      484.637
       3.285      166.800       10.699      484.637
       3.291        0.000       10.699      484.637
       3.296        0.000       10.699      484.637
       3.300      228.400       10.699      484.637
       3.305      225.200       10.699      484.637
       3.309        0.000       10.699      484.637
       3.314        0.000       10.699      484.637
       3.318        0.000       10.699      484.637
       3.323      225.200       10.699      484.637
       3.327      221.800       10.699      484.637
       3.332        0.000       10.699      484.637
       3.336        0.000       10.699      484.637
       3.341        0.000       10.699      484.637
       3.345      224.200       10.699      484.637
       3.350        0.000       10.699      484.637
       3.354        0.000       10.699      484.637
       3.359        0.000       10.699      484.637
       3.363        0.000       10.699      484.637
       3.367        0.000       10.699      484.637
       3.372        0.000       10.699      484.637
       3.376        0.000       10.699      484.637
       3.381      432.800       10.699      484.637
       3.386        0.000       10.699      484.637
       3.391        0.000       10.699      484.637
       3.395        0.000       10.699      484.637
       3.399      215.000       10.699      484.637
       3.404      235.300       10.699      484.637
       3.408        0.000       10.699      484.637
       3.412      462.100       10.699      484.637
       3.417        0.000       10.699      484.637
       3.421      234.900       10.699      484.637
       3.426      190.800       10.699      484.637
       3.431      220.800       10.699      484.637
       3.435        0.000       10.699      484.637
       3.440      414.100       10.699      484.637
       3.445      212.100       10.699      484.637
       3.449        0.000       10.699      484.637
       3.454      244.600       10.699      484.637
       3.458      190.800       10.699      484.637
       3.463      230.300       10.699      484.637
       3.467      229.000       10.699      484.637
       3.472        0.000       10.699      484.637
       3.476      371.100       10.699      484.637
       3.481      224.400       10.699      484.637
       3.486        0.000       10.699      484.637
       3.490      218.100       10.699      484.637
       3.495      208.200       10.699      484.637
       3.499      220.500       10.699      484.637
       3.504      224.500       10.699      484.637
       3.508        0.000       10.699      484.637
       3.513      225.500       10.699      484.637
       3.518      209.400       10.699      484.637
       3.523      220.100       10.699      484.637
       3.527      206.000       10.699      484.637
       3.532      216.900       10.699      484.637
       3.537      170.900       10.699      484.637
       3.543      157.500       10.699      484.637
       3.549      161.600       10.699      484.637
       3.555      188.400       10.699      484.637
       3.560      212.600       10.699      484.637
       3.565        0.000       10.699      484.637
       3.570      152.800       10.699      484.637
       3.577        0.000       10.699      484.637
       3.584      141.300       10.699      484.637
       3.591        0.000       10.699      484.637
       3.598      141.500       10.699      484.637
       3.605      136.200       10.699      484.637
       3.612        0.000       10.699      484.637
       3.619      140.000       10.699      484.637
       3.627      142.800       10.699      484.637
       3.634        0.000       10.699      484.637
       3.641      137.600       10.699      484.637
       3.648        0.000       10.699      484.637
       3.655        0.000       10.699      484.637
       3.662      140.700       10.699      484.637
       3.669        0.000       10.699      484.637
       3.676      281.200       10.699      484.637
       3.683        0.000       10.699      484.637
       3.691        0.000       10.699      484.637
       3.698      142.200       10.699      484.637
       3.705      136.300       10.699      484.637
       3.712        0.000       10.699      484.637
       3.719      223.300       10.699      484.637
       3.723        0.000       10.699      484.637
       3.728        0.000       10.699      484.637
       3.732        0.000       10.699      484.637
       3.737      440.300       10.699      484.637
       3.742        0.000       10.699      484.637
       3.746        0.000       10.699      484.637
       3.751      209.800       10.699      484.637
       3.756        0.000       10.699      484.637
       3.760        0.000       10.699      484.637
       3.765      219.500       10.699      484.637
       3.769        0.000       10.699      484.637
       3.773        0.000       10.699      484.637
       3.778      233.400       10.699      484.637
       3.782        0.000       10.699      484.637
       3.787      238.900       10.699      484.637
       3.791      233.800       10.699      484.637
       3.795        0.000       10.699      484.637
       3.799        0.000       10.699      484.637
       3.804        0.000       10.699      484.637
       3.808      242.700       10.699      484.637
       3.812      236.600       10.699      484.637
       3.817        0.000       10.699      484.637
       3.821        0.000       10.699      484.637
       3.825      233.400       10.699      484.637
       3.830        0.000       10.699      484.637
       3.834      190.400       10.699      484.637
       3.839      185.400       10.699      484.637
       3.845      168.800       10.699      484.637
       3.851      270.800       10.699      484.637
       3.858        0.000       10.699      484.637
       3.865      267.700       10.699      484.637
       3.873      138.300       10.699      484.637
       3.880      140.200       10.699      484.637
       3.887        0.000       10.699      484.637
       3.894      135.300       10.699      484.637
       3.902      139.600       10.699      484.637
       3.909      140.500       10.699      484.637
       3.916        0.000       10.699      484.637
       3.923      137.400       10.699      484.637
       3.931      140.000       10.699      484.637
       3.938        0.000       10.699      484.637
       3.945      143.200       10.699      484.637
       3.952      138.400       10.699      484.637
       3.959        0.000       10.699      484.637
       3.966      140.600       10.699      484.637
       3.973        0.000       10.699      484.637
       3.981      135.200       10.699      484.637
       3.988      140.300       10.699      484.637
       3.995      135.900       10.699      484.637
       4.003      139.500       10.699      484.637
       4.010      154.900       10.699      484.637
       4.016        0.000       10.699      484.637
       4.021        0.000       10.699      484.637
       4.025      161.900       10.699      484.637
       4.032      307.100       10.699      484.637
       4.038      155.000       10.699      484.637
       4.045        0.000       10.699      484.637
       4.050      283.400       10.699      484.637
       4.057      155.900       10.699      484.637
       4.063      155.100       10.699      484.637
       4.070      303.400       10.699      484.637
       4.076      146.000       10.699      484.637
       4.083        0.000       10.699      484.637
       4.090      173.100       10.699      484.637
